,FB ID,Gene Symbol
689,FBgn0004101,bs
690,FBgn0004102,oc
691,FBgn0004103,Pp1-87B
692,FBgn0004106,Cdk1
693,FBgn0004107,Cdk2
694,FBgn0004108,Nrt
695,FBgn0004110,tin
696,FBgn0004117,Tm2
697,FBgn0004118,nAChRbeta2
698,FBgn0004132,boca
699,FBgn0004133,blow
700,FBgn0004143,nullo
701,FBgn0004167,kst
702,FBgn0004168,5-HT1A
703,FBgn0004169,up
704,FBgn0004170,sc
705,FBgn0004171,Mst98Cb
706,FBgn0004172,Mst84Da
707,FBgn0004173,Mst84Db
708,FBgn0004174,Mst84Dc
709,FBgn0004175,Mst84Dd
710,FBgn0004177,mts
711,FBgn0004179,Csp
712,FBgn0004181,Ebp
713,FBgn0004185,snRNA:U1:95Ca
714,FBgn0004186,snRNA:U1:95Cb
715,FBgn0004192,snRNA:U2:34ABb
716,FBgn0004197,Ser
717,FBgn0004198,ct
718,FBgn0004227,nonA
719,FBgn0004228,mex1
720,FBgn0004237,Hrb87F
721,FBgn0004240,DptA
722,FBgn0004242,Syt1
723,FBgn0004244,Rdl
724,FBgn0004359,T48
725,FBgn0004360,Wnt2
726,FBgn0004362,HmgD
727,FBgn0004363,porin
728,FBgn0004367,mei-41
729,FBgn0004368,Ptp4E
730,FBgn0004369,Ptp99A
731,FBgn0004370,Ptp10D
732,FBgn0004372,aly
733,FBgn0004373,fwd
734,FBgn0004374,neb
735,FBgn0004378,Klp61F
736,FBgn0004379,Klp67A
737,FBgn0004380,Klp64D
738,FBgn0004381,Klp68D
739,FBgn0004387,Klp98A
740,FBgn0004390,RasGAP1
741,FBgn0004391,shtd
742,FBgn0004394,pdm2
743,FBgn0004395,unk
744,FBgn0004396,CrebA
745,FBgn0004397,Vinc
746,FBgn0004400,rhi
747,FBgn0004401,Pep
748,FBgn0004403,RpS14a
749,FBgn0004404,RpS14b
750,FBgn0004406,PolG1
751,FBgn0004407,PolG2
752,FBgn0004414,msopa
753,FBgn0004419,me31B
754,FBgn0004425,LysB
755,FBgn0004426,LysC
756,FBgn0004427,LysD
757,FBgn0004428,LysE
758,FBgn0004429,LysP
759,FBgn0004430,LysS
760,FBgn0004431,LysX
761,FBgn0004432,Cyp1
762,FBgn0004435,Galphaq
763,FBgn0004436,Ubc6
764,FBgn0004449,Ten-m
765,FBgn0004456,mew
766,FBgn0004463,Polr3B
767,FBgn0004465,Su(P)
768,FBgn0004507,Glyp
769,FBgn0004509,Fur1
770,FBgn0004510,Ets97D
771,FBgn0004511,dy
772,FBgn0004512,Mdr49
773,FBgn0004513,Mdr65
774,FBgn0004514,Oct-TyrR
775,FBgn0004516,Gad1
776,FBgn0004552,Akh
777,FBgn0004554,Edg91
778,FBgn0004556,Dbp73D
779,FBgn0004567,slp2
780,FBgn0004569,aos
781,FBgn0004573,5-HT7
782,FBgn0004574,Rop
783,FBgn0004575,Syn
784,FBgn0004577,Pxd
785,FBgn0004580,Cbp53E
786,FBgn0004581,bgcn
787,FBgn0004583,ex
788,FBgn0004584,Rrp1
789,FBgn0004587,B52
790,FBgn0004589,Eig71Eb
791,FBgn0004595,pros
792,FBgn0004597,CycC
793,FBgn0004598,Fur2
794,FBgn0004606,zfh1
795,FBgn0004607,zfh2
796,FBgn0004611,Plc21C
